kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-23.200000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.200260,0.018609,45.000000,0.366432,-0.604754,0.366432,0.604754,4.167
1,0.033333,-23.040000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.040304,0.022086,45.000000,0.340211,-0.619884,0.340211,0.619884,0.000
2,0.066667,-22.880000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.880343,0.025331,45.000000,0.315282,-0.632928,0.315282,0.632928,4.167
3,0.100000,-22.720000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.720376,0.028319,45.000000,0.291997,-0.644001,0.291997,0.644001,4.167
4,0.133333,-22.560000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.560402,0.031017,45.000000,0.270746,-0.653220,0.270746,0.653220,0.000
5,0.166667,-22.400000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.400423,0.033382,45.000000,0.252019,-0.660671,0.252019,0.660671,4.167
6,0.200000,-22.240000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.240438,0.035403,45.000000,0.236007,-0.666559,0.236007,0.666559,4.167
7,0.233333,-22.080000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.080448,0.037059,45.000000,0.222966,-0.671034,0.222966,0.671034,0.000
8,0.266667,-21.920000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.920454,0.038313,45.000000,0.213263,-0.674180,0.213263,0.674180,4.167
9,0.295833,-21.780000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.780457,0.039091,45.000000,0.207450,-0.675992,0.207450,0.675992,0.000
10,0.329167,-21.620000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.264584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.620458,0.039580,45.000000,0.204191,-0.676983,0.204191,0.676983,4.167
