kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
22,0.725000,-19.720001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.879167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.720397,0.000000,45.015228,0.581858,-0.581858,0.401798,0.401798,4.167
23,0.758333,-19.560001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.762501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.560398,0.000000,45.015869,0.584522,-0.584522,0.397912,0.397912,0.000
24,0.791667,-19.400001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.645834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.400399,0.000000,45.016057,0.584903,-0.584903,0.397352,0.397352,4.167
25,0.825000,-19.240001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.529167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.240399,0.000000,45.015807,0.583103,-0.583103,0.399989,0.399989,4.167
26,0.858333,-19.080001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.412501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.080401,0.000000,45.015125,0.579127,-0.579127,0.405724,0.405724,0.000
27,0.891667,-18.920001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.295834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.920405,0.000000,45.014011,0.572899,-0.572899,0.414471,0.414471,4.167
28,0.925000,-18.760001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.179167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.760413,0.000000,45.012515,0.564566,-0.564566,0.425753,0.425753,4.167
29,0.958333,-18.600001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.062501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.600425,0.000000,45.010678,0.554204,-0.554204,0.439156,0.439156,0.000
30,0.991667,-18.440001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.945834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.440442,0.000000,45.008537,0.541886,-0.541886,0.454268,0.454268,4.167
31,1.025000,-18.280001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.829167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.280463,0.000000,45.006166,0.527899,-0.527899,0.470450,0.470450,4.167
32,1.058333,-18.120001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.712501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.120486,0.000000,45.003628,0.512517,-0.512517,0.487161,0.487161,0.000
33,1.091666,-17.960001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.595834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.960511,0.000000,45.000990,0.496095,-0.496095,0.503875,0.503875,4.167
34,1.120833,-17.820001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.493751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.820534,0.000000,44.998661,0.481238,-0.481238,0.518083,0.518083,0.000
35,1.154166,-17.660001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.377084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.660559,0.000000,44.996043,0.464171,-0.464171,0.533428,0.533428,4.167
36,1.187500,-17.500001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.260417,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.500582,0.000000,44.993540,0.447522,-0.447522,0.547470,0.547470,4.167
37,1.220833,-17.340001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.143751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.340602,0.000000,44.991218,0.431835,-0.431835,0.559927,0.559927,0.000
38,1.254166,-17.180001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.027084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.180618,0.000000,44.989153,0.417758,-0.417758,0.570507,0.570507,4.167
39,1.287500,-17.020001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.910417,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.020629,0.000000,44.987394,0.405723,-0.405723,0.579128,0.579128,4.167
40,1.320833,-16.860001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.793751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.860636,0.000000,44.985985,0.396164,-0.396164,0.585709,0.585709,0.000
41,1.354166,-16.700001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.677084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.700640,0.000000,44.984986,0.389584,-0.389584,0.590105,0.590105,4.167
42,1.387500,-16.540001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.560418,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.540642,0.000000,44.984406,0.386101,-0.386101,0.592390,0.592390,4.167
43,1.420833,-16.380001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.443751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.380642,0.000000,44.984259,0.385843,-0.385843,0.592558,0.592558,0.000
44,1.454166,-16.220001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.327084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.220642,0.000000,44.984572,0.388973,-0.388973,0.590508,0.590508,4.167
45,1.487500,-16.060001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.210418,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.060644,0.000000,44.985315,0.395218,-0.395218,0.586347,0.586347,4.167
46,1.520833,-15.900001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.093751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.900649,0.000000,44.986467,0.404345,-0.404345,0.580091,0.580091,0.000
47,1.550000,-15.760001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,13.991668,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.760657,0.000000,44.987802,0.414536,-0.414536,0.572852,0.572852,4.167
48,1.583333,-15.600001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,13.875001,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.600669,0.000000,44.989639,0.428141,-0.428141,0.562757,0.562757,0.000
