kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-23.200000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.200019,0.000000,44.995005,0.466658,-0.466658,0.531253,0.531253,4.167
1,0.033333,-23.040000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.040022,0.000000,44.994051,0.460371,-0.460371,0.536711,0.536711,0.000
2,0.066667,-22.880000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.880025,0.000000,44.993149,0.454378,-0.454378,0.541794,0.541794,4.167
3,0.100000,-22.720000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.720028,0.000000,44.992303,0.448728,-0.448728,0.546482,0.546482,4.167
4,0.133333,-22.560000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.560030,0.000000,44.991520,0.443481,-0.443481,0.550749,0.550749,0.000
5,0.166667,-22.400000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.400032,0.000000,44.990812,0.438717,-0.438717,0.554552,0.554552,4.167
6,0.200000,-22.240000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.240033,0.000000,44.990180,0.434467,-0.434467,0.557888,0.557888,4.167
7,0.233333,-22.080000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.080035,0.000000,44.989529,0.430748,-0.430748,0.560764,0.560764,0.000
8,0.266667,-21.920000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.920036,0.000000,44.989069,0.427690,-0.427690,0.563100,0.563100,4.167
9,0.295833,-21.780000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.780036,0.000000,44.988741,0.425525,-0.425525,0.564738,0.564738,0.000
10,0.329167,-21.620000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.264584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.620037,0.000000,44.988459,0.423705,-0.423705,0.566105,0.566105,4.167
11,0.362500,-21.460000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.147917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.460037,0.000000,44.988274,0.422568,-0.422568,0.566954,0.566954,4.167
12,0.395833,-21.300000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.031250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.300037,0.000000,44.988187,0.422126,-0.422126,0.567282,0.567282,0.000
