kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-23.200000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.200000,1.951853,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,-23.040000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.040000,2.314741,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,-22.880000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.880000,2.661792,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,-22.720000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.720000,2.991284,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,-22.560000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.560000,3.301024,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,-22.400000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.400000,3.587792,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,-22.240000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.240000,3.850616,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,-22.080000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.080000,4.087746,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,-21.920000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.920000,4.296213,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,-21.780000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.780000,4.455520,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,-21.620000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.264584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.620000,4.608047,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,-21.460000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.147917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.460000,4.729602,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,-21.300000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.031250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.300000,4.819375,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,-21.140000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.914584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.140000,4.875194,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,-20.980000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.797917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.980000,4.898209,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,-20.820001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.681250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.820001,4.888265,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,-20.660001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.564584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.660001,4.843869,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
