kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
31,1.025000,-15.418984,-0.330463,0.750000,0.991655,0.000000,0.000000,0.128920,-20.174385,1.468934,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
32,1.058333,-15.313317,-0.303099,0.750000,0.992452,0.000000,0.000000,0.122635,-21.048928,1.780917,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
33,1.091666,-15.215537,-0.279181,0.750000,0.993265,0.000000,0.000000,0.115862,-21.893599,1.890454,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
34,1.120833,-15.135947,-0.260777,0.750000,0.993978,0.000000,0.000000,0.109579,-22.603000,1.827769,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
35,1.154166,-15.052196,-0.242673,0.750000,0.994786,0.000000,0.000000,0.101987,-23.369318,1.564066,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
36,1.187500,-14.975614,-0.227342,0.750000,0.995571,0.000000,0.000000,0.094008,-24.082683,1.114785,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
37,1.220833,-14.906043,-0.214577,0.750000,0.996324,0.000000,0.000000,0.085670,-24.735736,0.495041,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
38,1.254166,-14.843623,-0.204253,0.750000,0.997032,0.000000,0.000000,0.076990,-25.318033,-0.280194,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
39,1.287500,-14.787820,-0.196015,0.750000,0.997684,0.000000,0.000000,0.068019,-25.826186,-1.176380,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
40,1.320833,-14.738413,-0.189625,0.750000,0.998270,0.000000,0.000000,0.058789,-26.254564,-2.163370,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
41,1.354166,-14.695439,-0.184906,0.750000,0.998783,0.000000,0.000000,0.049329,-26.593893,-3.208771,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
42,1.387500,-14.657327,-0.181449,0.750000,0.999211,0.000000,0.000000,0.039712,-26.859841,-4.273963,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
43,1.420833,-14.624342,-0.179075,0.750000,0.999551,0.000000,0.000000,0.029960,-27.040270,-5.323443,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
44,1.454166,-14.598305,-0.177737,0.750000,0.999799,0.000000,0.000000,0.020058,-27.096978,-6.313531,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
45,1.487500,-14.577171,-0.177061,0.750000,0.999949,0.000000,0.000000,0.010090,-27.056037,-7.214193,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
46,1.520833,-14.560592,-0.176857,0.750000,1.000000,0.000000,0.000000,0.000093,-26.916445,-7.995128,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
47,1.550000,-14.549699,-0.176935,0.750000,0.999963,0.000000,0.000000,-0.008645,-26.708991,-8.552017,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
48,1.583333,-14.540748,-0.177157,0.750000,0.999827,0.000000,0.000000,-0.018586,-26.381697,-9.034329,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
49,1.616666,-14.535378,-0.177399,0.750000,0.999596,0.000000,0.000000,-0.028437,-25.953020,-9.324273,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
50,1.650000,-14.532999,-0.177548,0.750000,0.999272,0.000000,0.000000,-0.038162,-25.429951,-9.420248,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
51,1.683333,-14.533195,-0.177526,0.750000,0.998861,0.000000,0.000000,-0.047723,-24.815548,-9.319024,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
52,1.716666,-14.535622,-0.177269,0.750000,0.998370,0.000000,0.000000,-0.057073,-24.109704,-9.015038,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
53,1.750000,-14.539726,-0.176762,0.750000,0.997807,0.000000,0.000000,-0.066183,-23.321421,-8.528234,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
54,1.783333,-14.545076,-0.176006,0.750000,0.997182,0.000000,0.000000,-0.075020,-22.455996,-7.874991,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
55,1.816666,-14.551254,-0.175021,0.750000,0.996505,0.000000,0.000000,-0.083532,-21.516331,-7.071718,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
56,1.850000,-14.557766,-0.173872,0.750000,0.995786,0.000000,0.000000,-0.091703,-20.512730,-6.153699,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
57,1.883333,-14.564185,-0.172636,0.750000,0.995038,0.000000,0.000000,-0.099500,-19.452300,-5.151820,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
58,1.916666,-14.570036,-0.171414,0.750000,0.994273,0.000000,0.000000,-0.106875,-18.340730,-4.099354,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
59,1.945833,-14.574387,-0.170446,0.750000,0.993597,0.000000,0.000000,-0.112982,-17.335265,-3.167870,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
60,1.979166,-14.578011,-0.169590,0.750000,0.992833,0.000000,0.000000,-0.119512,-16.154002,-2.125322,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
61,2.012500,-14.579858,-0.169131,0.750000,0.992086,0.000000,0.000000,-0.125562,-14.948877,-1.140652,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
62,2.045833,-14.579531,-0.169220,0.750000,0.991368,0.000000,0.000000,-0.131111,-13.728696,-0.246984,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
63,2.079166,-14.576497,-0.170055,0.750000,0.990693,0.000000,0.000000,-0.136113,-12.502620,0.518156,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
64,2.112500,-14.570478,-0.171771,0.750000,0.990070,0.000000,0.000000,-0.140573,-11.280399,1.133419,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
65,2.145833,-14.561105,-0.174525,0.750000,0.989508,0.000000,0.000000,-0.144476,-10.070981,1.578105,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
66,2.179166,-14.547817,-0.178539,0.750000,0.989020,0.000000,0.000000,-0.147781,-8.884753,1.827616,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
67,2.212500,-14.530421,-0.183907,0.750000,0.988610,0.000000,0.000000,-0.150501,-7.729789,1.881912,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
68,2.245833,-14.508573,-0.190765,0.750000,0.988284,0.000000,0.000000,-0.152629,-6.614472,1.739167,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
69,2.279166,-14.481689,-0.199318,0.750000,0.988051,0.000000,0.000000,-0.154126,-5.549587,1.395365,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
70,2.312500,-14.449653,-0.209595,0.750000,0.987912,0.000000,0.000000,-0.155017,-4.540893,0.871790,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
71,2.345833,-14.412145,-0.221678,0.750000,0.987868,0.000000,0.000000,-0.155298,-3.595540,0.186056,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
72,2.375000,-14.374332,-0.233861,0.750000,0.987912,0.000000,0.000000,-0.155017,-2.828836,-0.533802,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
73,2.408333,-14.325526,-0.249528,0.750000,0.988050,0.000000,0.000000,-0.154136,-2.022460,-1.458941,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
74,2.441666,-14.270038,-0.267192,0.750000,0.988285,0.000000,0.000000,-0.152619,-1.301406,-2.468348,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
75,2.475000,-14.207871,-0.286737,0.750000,0.988610,0.000000,0.000000,-0.150502,-0.666791,-3.522391,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
76,2.508333,-14.138750,-0.308110,0.750000,0.989019,0.000000,0.000000,-0.147790,-0.122615,-4.585612,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
77,2.541666,-14.062053,-0.331304,0.750000,0.989510,0.000000,0.000000,-0.144467,0.323245,-5.618922,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
78,2.575000,-13.977862,-0.356109,0.750000,0.990070,0.000000,0.000000,-0.140573,0.672708,-6.586998,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
79,2.608333,-13.885940,-0.382373,0.750000,0.990692,0.000000,0.000000,-0.136121,0.924178,-7.457273,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
80,2.641666,-13.785678,-0.409961,0.750000,0.991369,0.000000,0.000000,-0.131103,1.072143,-8.192772,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
81,2.675000,-13.677243,-0.438583,0.750000,0.992086,0.000000,0.000000,-0.125562,1.121409,-8.773477,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
82,2.708333,-13.560452,-0.467988,0.750000,0.992832,0.000000,0.000000,-0.119519,1.072907,-9.179851,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
83,2.741666,-13.434734,-0.497907,0.750000,0.993598,0.000000,0.000000,-0.112975,0.923933,-9.388545,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
84,2.770833,-13.317775,-0.524235,0.750000,0.994272,0.000000,0.000000,-0.106882,0.718557,-9.413620,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
85,2.804166,-13.175463,-0.554185,0.750000,0.995038,0.000000,0.000000,-0.099494,0.395020,-9.248140,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
86,2.837500,-13.024305,-0.583636,0.750000,0.995786,0.000000,0.000000,-0.091703,-0.014412,-8.891629,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
87,2.870833,-12.864249,-0.612220,0.750000,0.996505,0.000000,0.000000,-0.083538,-0.504942,-8.356081,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
88,2.904166,-12.694851,-0.639469,0.750000,0.997182,0.000000,0.000000,-0.075015,-1.074363,-7.652934,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
89,2.937500,-12.516549,-0.665027,0.750000,0.997807,0.000000,0.000000,-0.066183,-1.712610,-6.814713,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
90,2.970833,-12.329394,-0.688492,0.750000,0.998370,0.000000,0.000000,-0.057077,-2.412955,-5.869619,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
91,3.004166,-12.133058,-0.709319,0.750000,0.998861,0.000000,0.000000,-0.047720,-3.170335,-4.847726,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
92,3.037500,-11.928085,-0.727205,0.750000,0.999272,0.000000,0.000000,-0.038162,-3.974005,-3.788771,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
93,3.070833,-11.714633,-0.741761,0.750000,0.999596,0.000000,0.000000,-0.028439,-4.815843,-2.728381,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
94,3.104166,-11.492510,-0.752408,0.750000,0.999827,0.000000,0.000000,-0.018585,-5.688331,-1.705901,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
95,3.137499,-11.262350,-0.758947,0.750000,0.999963,0.000000,0.000000,-0.008645,-6.580895,-0.755912,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
96,3.170833,-11.024412,-0.761042,0.750000,0.999999,0.000000,0.000000,0.001343,-7.484668,0.089629,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
97,3.199999,-10.809757,-0.758768,0.750000,0.999949,0.000000,0.000000,0.010090,-8.277289,0.714340,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
98,3.233333,-10.557853,-0.751546,0.750000,0.999799,0.000000,0.000000,0.020059,-9.176906,1.283813,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
99,3.266666,-10.298795,-0.738800,0.750000,0.999551,0.000000,0.000000,0.029958,-10.060119,1.668858,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
100,3.299999,-10.033293,-0.720563,0.750000,0.999210,0.000000,0.000000,0.039750,-10.918395,1.864139,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
101,3.333333,-9.761733,-0.696674,0.750000,0.998779,0.000000,0.000000,0.049396,-11.743155,1.863086,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
102,3.366666,-9.484270,-0.666734,0.750000,0.998267,0.000000,0.000000,0.058850,-12.523630,1.656452,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
103,3.399999,-9.201609,-0.630944,0.750000,0.997680,0.000000,0.000000,0.068083,-13.253466,1.260855,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
104,3.433333,-8.914176,-0.589280,0.750000,0.997027,0.000000,0.000000,0.077059,-13.925165,0.689605,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
105,3.466666,-8.622217,-0.541493,0.750000,0.996318,0.000000,0.000000,0.085729,-14.528217,-0.044374,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
106,3.499999,-8.326393,-0.487940,0.750000,0.995565,0.000000,0.000000,0.094072,-15.058948,-0.907682,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
