kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
21,0.695833,-16.885697,-0.791213,0.750000,0.986878,0.000000,0.000000,0.161467,16.981250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-11.959241,-7.310161,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,-16.724366,-0.737043,0.750000,0.986968,0.000000,0.000000,0.160915,16.879167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-12.539066,-6.537836,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
23,0.758333,-16.547242,-0.677886,0.750000,0.987161,0.000000,0.000000,0.159726,16.762501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-13.256391,-5.567257,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
24,0.791667,-16.378404,-0.622069,0.750000,0.987454,0.000000,0.000000,0.157905,16.645834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-14.028354,-4.530534,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
25,0.825000,-16.217474,-0.569607,0.750000,0.987838,0.000000,0.000000,0.155487,16.529167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-14.844188,-3.467448,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
26,0.858333,-16.064443,-0.520618,0.750000,0.988306,0.000000,0.000000,0.152481,16.412501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.695668,-2.413764,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
27,0.891667,-15.919666,-0.475358,0.750000,0.988857,0.000000,0.000000,0.148870,16.295834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.575067,-1.409094,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
28,0.925000,-15.782738,-0.433703,0.750000,0.989476,0.000000,0.000000,0.144694,16.179167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.471875,-0.486881,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
29,0.958333,-15.653621,-0.395660,0.750000,0.990156,0.000000,0.000000,0.139969,16.062501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.377186,0.321849,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
30,0.991667,-15.532634,-0.361367,0.750000,0.990888,0.000000,0.000000,0.134688,15.945834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.281481,0.981668,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
31,1.025000,-15.419343,-0.330589,0.750000,0.991658,0.000000,0.000000,0.128894,15.829167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.175339,1.475882,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
32,1.058333,-15.313674,-0.303230,0.750000,0.992455,0.000000,0.000000,0.122610,15.712501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.049882,1.787865,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
33,1.091666,-15.215893,-0.279317,0.750000,0.993268,0.000000,0.000000,0.115836,15.595834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.894553,1.897401,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
34,1.120833,-15.136302,-0.260917,0.750000,0.993981,0.000000,0.000000,0.109553,15.493751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.603953,1.834717,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
35,1.154166,-15.052550,-0.242817,0.750000,0.994788,0.000000,0.000000,0.101962,15.377084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.370272,1.571014,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
36,1.187500,-14.975967,-0.227491,0.750000,0.995574,0.000000,0.000000,0.093982,15.260417,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-24.083637,1.121733,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
37,1.220833,-14.906396,-0.214729,0.750000,0.996326,0.000000,0.000000,0.085644,15.143751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-24.736689,0.501988,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
38,1.254166,-14.843975,-0.204409,0.750000,0.997034,0.000000,0.000000,0.076964,15.027084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-25.318987,-0.273246,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
39,1.287500,-14.788171,-0.196173,0.750000,0.997686,0.000000,0.000000,0.067993,14.910417,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-25.827140,-1.169433,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
