t,wx,wy,wz,ax,ay,az,qw,qx,qy,qz
0.004166666,0.000000000,0.000000000,0.822467033,-0.000000000,0.000000000,9.800000000,1.000000000,0.000000000,0.000000000,0.000000000
0.008333332,0.000000000,0.000000000,0.822467033,-0.000000000,0.000000000,9.800000000,0.999998532,0.000000000,0.000000000,0.001713472
0.012499998,0.000000000,0.000000000,0.822467033,-0.000000000,-0.000000000,9.800000000,0.999994128,0.000000000,0.000000000,0.003426939
0.016666664,0.000000000,0.000000000,0.822467033,-0.000000000,0.000000000,9.800000000,0.999986788,0.000000000,0.000000000,0.005140395
0.020833330,0.000000000,0.000000000,0.822308495,0.000000000,-0.000000000,9.800000000,0.999976514,0.000000000,0.000000000,0.006853507
0.029166662,0.000000000,0.000000000,0.822308495,-0.000000000,-0.000000000,9.800000000,0.999947163,0.000000000,0.000000000,0.010279664
0.033333328,0.000000000,0.000000000,0.821832941,0.000000000,0.000000000,9.800000000,0.999928097,0.000000000,0.000000000,0.011991710
0.037499994,0.000000000,0.000000000,0.821832941,0.000000000,0.000000000,9.800000000,0.999906100,0.000000000,0.000000000,0.013703720
0.041666660,0.000000000,0.000000000,0.821832941,0.000000000,0.000000000,9.800000000,0.999881171,0.000000000,0.000000000,0.015415690
0.045833326,0.000000000,0.000000000,0.821040555,0.000000000,0.000000000,9.800000000,0.999853340,0.000000000,0.000000000,0.017125964
0.054166658,0.000000000,0.000000000,0.821040555,0.000000000,0.000000000,9.800000000,0.999788901,0.000000000,0.000000000,0.020546357
0.058333324,0.000000000,0.000000000,0.819931643,0.000000000,0.000000000,9.800000000,0.999752346,0.000000000,0.000000000,0.022254156
0.062499990,0.000000000,0.000000000,0.819931643,0.000000000,0.000000000,9.800000000,0.999712873,0.000000000,0.000000000,0.023961891
0.066666656,0.000000000,0.000000000,0.819931643,0.000000000,0.000000000,9.800000000,0.999670483,0.000000000,0.000000000,0.025669555
0.070833322,0.000000000,0.000000000,0.818506631,0.000000000,0.000000000,9.800000000,0.999625257,0.000000000,0.000000000,0.027374177
0.079166654,0.000000000,0.000000000,0.818506631,0.000000000,0.000000000,9.800000000,0.999526086,0.000000000,0.000000000,0.030783177
0.083333320,0.000000000,0.000000000,0.816766070,-0.000000000,-0.000000000,9.800000000,0.999472258,0.000000000,0.000000000,0.032483921
0.087499986,0.000000000,0.000000000,0.816766070,-0.000000000,-0.000000000,9.800000000,0.999415537,0.000000000,0.000000000,0.034184571
0.091666652,0.000000000,0.000000000,0.816766070,0.000000000,-0.000000000,9.800000000,0.999355922,0.000000000,0.000000000,0.035885122
0.095833318,0.000000000,0.000000000,0.814710629,-0.000000000,0.000000000,9.800000000,0.999293574,0.000000000,0.000000000,0.037581289
0.104166650,0.000000000,0.000000000,0.814710629,-0.000000000,0.000000000,9.800000000,0.999160242,0.000000000,0.000000000,0.040973295
0.108333316,0.000000000,0.000000000,0.812341103,0.000000000,0.000000000,9.800000000,0.999089469,0.000000000,0.000000000,0.042664192
0.112499982,0.000000000,0.000000000,0.812341103,-0.000000000,0.000000000,9.800000000,0.999015834,0.000000000,0.000000000,0.044354966
0.116666648,0.000000000,0.000000000,0.812341103,0.000000000,0.000000000,9.800000000,0.998939338,0.000000000,0.000000000,0.046045613
0.120833314,0.000000000,0.000000000,0.809658403,0.000000000,0.000000000,9.800000000,0.998860248,0.000000000,0.000000000,0.047730546
0.129166646,0.000000000,0.000000000,0.809658403,-0.000000000,0.000000000,9.800000000,0.998693542,0.000000000,0.000000000,0.051099999
0.133333312,0.000000000,0.000000000,0.806663565,-0.000000000,0.000000000,9.800000000,0.998606255,0.000000000,0.000000000,0.052778279
0.137499978,0.000000000,0.000000000,0.806663565,0.000000000,0.000000000,9.800000000,0.998516149,0.000000000,0.000000000,0.054456410
0.141666644,0.000000000,0.000000000,0.806663565,0.000000000,0.000000000,9.800000000,0.998423222,0.000000000,0.000000000,0.056134388
0.145833310,0.000000000,0.000000000,0.803357743,0.000000000,0.000000000,9.800000000,0.998327874,0.000000000,0.000000000,0.057805331
0.154166642,0.000000000,0.000000000,0.803357743,-0.000000000,0.000000000,9.800000000,0.998128788,0.000000000,0.000000000,0.061146727
0.158333308,0.000000000,0.000000000,0.799742211,0.000000000,0.000000000,9.800000000,0.998025524,0.000000000,0.000000000,0.062809653
0.162499974,0.000000000,0.000000000,0.799742211,0.000000000,0.000000000,9.800000000,0.997919490,0.000000000,0.000000000,0.064472405
0.166666640,0.000000000,0.000000000,0.799742211,0.000000000,0.000000000,9.800000000,0.997810686,0.000000000,0.000000000,0.066134978
0.170833306,0.000000000,0.000000000,0.795818364,0.000000000,0.000000000,9.800000000,0.997699666,0.000000000,0.000000000,0.067789211
0.179166638,0.000000000,0.000000000,0.795818364,0.000000000,0.000000000,9.800000000,0.997469398,0.000000000,0.000000000,0.071097114
0.183333304,0.000000000,0.000000000,0.791587713,0.000000000,0.000000000,9.800000000,0.997350793,0.000000000,0.000000000,0.072741984
0.187499970,0.000000000,0.000000000,0.791587713,0.000000000,0.000000000,9.800000000,0.997229475,0.000000000,0.000000000,0.074386656
0.191666636,0.000000000,0.000000000,0.791587713,0.000000000,0.000000000,9.800000000,0.997105445,0.000000000,0.000000000,0.076031126
0.195833302,0.000000000,0.000000000,0.787051890,0.000000000,0.000000000,9.800000000,0.996979437,0.000000000,0.000000000,0.077665968
0.204166634,0.000000000,0.000000000,0.787051890,-0.000000000,0.000000000,9.800000000,0.996719380,0.000000000,0.000000000,0.080935021
0.208333300,0.000000000,0.000000000,0.782212644,0.000000000,0.000000000,9.800000000,0.996586164,0.000000000,0.000000000,0.082559176
0.212499966,0.000000000,0.000000000,0.782212644,0.000000000,0.000000000,9.800000000,0.996450302,0.000000000,0.000000000,0.084183112
0.216666632,0.000000000,0.000000000,0.782212644,0.000000000,0.000000000,9.800000000,0.996311793,0.000000000,0.000000000,0.085806824
0.220833298,0.000000000,0.000000000,0.777071841,0.000000000,0.000000000,9.800000000,0.996171575,0.000000000,0.000000000,0.087419640
0.229166630,0.000000000,0.000000000,0.777071841,0.000000000,0.000000000,9.800000000,0.995883307,0.000000000,0.000000000,0.090644579
0.233333296,0.000000000,0.000000000,0.771631461,0.000000000,0.000000000,9.800000000,0.995736303,0.000000000,0.000000000,0.092245409
0.237499962,0.000000000,0.000000000,0.771631461,0.000000000,0.000000000,9.800000000,0.995586726,0.000000000,0.000000000,0.093846000
0.241666628,0.000000000,0.000000000,0.771631461,0.000000000,0.000000000,9.800000000,0.995434576,0.000000000,0.000000000,0.095446349
0.245833294,0.000000000,0.000000000,0.765893603,0.000000000,-0.000000000,9.800000000,0.995281013,0.000000000,0.000000000,0.097034553
0.254166626,0.000000000,0.000000000,0.765893603,0.000000000,-0.000000000,9.800000000,0.994966287,0.000000000,0.000000000,0.100210217
0.258333292,0.000000000,0.000000000,0.759860478,-0.000000000,-0.000000000,9.800000000,0.994806403,0.000000000,0.000000000,0.101785165
0.262499958,0.000000000,0.000000000,0.759860478,-0.000000000,0.000000000,9.800000000,0.994644027,0.000000000,0.000000000,0.103359857
0.266666624,0.000000000,0.000000000,0.759860478,-0.000000000,0.000000000,9.800000000,0.994479157,0.000000000,0.000000000,0.104934291
0.270833290,0.000000000,0.000000000,0.753534413,0.000000000,0.000000000,9.800000000,0.994313200,0.000000000,0.000000000,0.106495357
0.279166622,0.000000000,0.000000000,0.753534413,0.000000000,0.000000000,9.800000000,0.993973933,0.000000000,0.000000000,0.109616698
0.283333288,0.000000000,0.000000000,0.746917846,0.000000000,0.000000000,9.800000000,0.993802157,0.000000000,0.000000000,0.111163267
0.287499954,0.000000000,0.000000000,0.746917846,-0.000000000,0.000000000,9.800000000,0.993627976,0.000000000,0.000000000,0.112709566
