kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,celdirici2_x,celdirici2_y,celdirici2_z,celdirici2_qw,celdirici2_qx,celdirici2_qy,celdirici2_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
12,0.395833,-21.300000,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,18.031250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.894997,-7.927448,0.750000,0.233445,0.000000,0.000000,0.972370,-21.300058,0.016202,38.300000,0.388393,-0.590890,0.388393,0.590890,0.000
13,0.429167,-21.140000,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.914584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.770257,-7.863889,0.750000,0.233445,0.000000,0.000000,0.972370,-21.140060,0.016900,38.300000,0.383308,-0.594201,0.383308,0.594201,4.167
14,0.462500,-20.980000,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.797917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.645516,-7.800330,0.750000,0.233445,0.000000,0.000000,0.972370,-20.980062,0.017553,38.300000,0.378530,-0.597256,0.378530,0.597256,4.167
15,0.495833,-20.820001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.681250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.520775,-7.736772,0.750000,0.233445,0.000000,0.000000,0.972370,-20.820063,0.018160,38.300000,0.374078,-0.600054,0.374078,0.600054,0.000
16,0.529167,-20.660001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.564584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.396034,-7.673213,0.750000,0.233445,0.000000,0.000000,0.972370,-20.660064,0.018716,38.300000,0.369987,-0.602586,0.369987,0.602586,4.167
17,0.562500,-20.500001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.447917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.271293,-7.609654,0.750000,0.233445,0.000000,0.000000,0.972370,-20.500065,0.019224,38.300000,0.366255,-0.604862,0.366255,0.604862,4.167
18,0.595833,-20.340001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.331250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.146552,-7.546096,0.750000,0.233445,0.000000,0.000000,0.972370,-20.340066,0.019680,38.300000,0.362896,-0.606883,0.362896,0.606883,0.000
19,0.629167,-20.180001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.214584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.021811,-7.482537,0.750000,0.233445,0.000000,0.000000,0.972370,-20.180067,0.020082,38.300000,0.359943,-0.608639,0.359943,0.608639,4.167
20,0.662500,-20.020001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,17.097917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.897070,-7.418978,0.750000,0.233445,0.000000,0.000000,0.972370,-20.020067,0.020431,38.300000,0.357388,-0.610143,0.357388,0.610143,4.167
21,0.695833,-19.860001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.981250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.772329,-7.355420,0.750000,0.233445,0.000000,0.000000,0.972370,-19.860068,0.020726,38.300000,0.355241,-0.611395,0.355241,0.611395,0.000
22,0.725000,-19.720001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.879167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.663181,-7.299806,0.750000,0.233445,0.000000,0.000000,0.972370,-19.720068,0.020937,38.300000,0.353722,-0.612275,0.353722,0.612275,4.167
23,0.758333,-19.560001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.762501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.538440,-7.236247,0.750000,0.233445,0.000000,0.000000,0.972370,-19.560068,0.021127,38.300000,0.352375,-0.613051,0.352375,0.613051,0.000
24,0.791667,-19.400001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.645834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.413699,-7.172689,0.750000,0.233445,0.000000,0.000000,0.972370,-19.400068,0.021259,38.300000,0.351476,-0.613567,0.351476,0.613567,4.167
25,0.825000,-19.240001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.529167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.288958,-7.109130,0.750000,0.233445,0.000000,0.000000,0.972370,-19.240068,0.021334,38.300000,0.351008,-0.613835,0.351008,0.613835,4.167
26,0.858333,-19.080001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.412501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.164218,-7.045571,0.750000,0.233445,0.000000,0.000000,0.972370,-19.080068,0.021353,38.300000,0.350973,-0.613855,0.350973,0.613855,0.000
27,0.891667,-18.920001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.295834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.039477,-6.982013,0.750000,0.233445,0.000000,0.000000,0.972370,-18.920068,0.021313,38.300000,0.351393,-0.613615,0.351393,0.613615,4.167
28,0.925000,-18.760001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.179167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.914736,-6.918454,0.750000,0.233445,0.000000,0.000000,0.972370,-18.760068,0.021216,38.300000,0.352244,-0.613126,0.352244,0.613126,4.167
29,0.958333,-18.600001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,16.062501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.789995,-6.854895,0.750000,0.233445,0.000000,0.000000,0.972370,-18.600068,0.021063,38.300000,0.353524,-0.612389,0.353524,0.612389,0.000
30,0.991667,-18.440001,-2.200000,0.783950,1.000000,0.000000,0.000000,0.000000,15.945834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.665254,-6.791337,0.750000,0.233445,0.000000,0.000000,0.972370,-18.440068,0.020852,38.300000,0.355248,-0.611391,0.355248,0.611391,4.167
