kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,celdirici2_x,celdirici2_y,celdirici2_z,celdirici2_qw,celdirici2_qx,celdirici2_qy,celdirici2_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
16,0.529167,-20.660001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.564584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.396034,-7.673213,0.750000,0.233445,0.000000,0.000000,0.972370,-20.660111,0.023979,46.970082,0.369722,-0.602748,0.369722,0.602748,4.167
17,0.562500,-20.500001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.447917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.271293,-7.609654,0.750000,0.233445,0.000000,0.000000,0.972370,-20.500113,0.024687,47.385415,0.365953,-0.605044,0.365953,0.605044,4.167
18,0.595833,-20.340001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.331250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.146552,-7.546096,0.750000,0.233445,0.000000,0.000000,0.972370,-20.340114,0.025321,47.800748,0.362556,-0.607086,0.362556,0.607086,0.000
19,0.629167,-20.180001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.214584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,3.021811,-7.482537,0.750000,0.233445,0.000000,0.000000,0.972370,-20.180115,0.025802,48.216082,0.359582,-0.608852,0.359582,0.608852,4.167
20,0.662500,-20.020001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,17.097917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.897070,-7.418978,0.750000,0.233445,0.000000,0.000000,0.972370,-20.020116,0.026172,48.631415,0.357020,-0.610358,0.357020,0.610358,4.167
21,0.695833,-19.860001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.981250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.772329,-7.355420,0.750000,0.233445,0.000000,0.000000,0.972370,-19.860116,0.026510,49.046748,0.354859,-0.611617,0.354859,0.611617,0.000
22,0.725000,-19.720001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.879167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.663181,-7.299806,0.750000,0.233445,0.000000,0.000000,0.972370,-19.720117,0.026829,49.410165,0.353293,-0.612523,0.353293,0.612523,4.167
23,0.758333,-19.560001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.762501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.538440,-7.236247,0.750000,0.233445,0.000000,0.000000,0.972370,-19.560117,0.027087,49.825498,0.351911,-0.613318,0.351911,0.613318,0.000
24,0.791667,-19.400001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.645834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.413699,-7.172689,0.750000,0.233445,0.000000,0.000000,0.972370,-19.400117,0.027328,50.240831,0.350929,-0.613880,0.350929,0.613880,4.167
25,0.825000,-19.240001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.529167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.288958,-7.109130,0.750000,0.233445,0.000000,0.000000,0.972370,-19.240117,0.027524,50.656165,0.350358,-0.614206,0.350358,0.614206,4.167
26,0.858333,-19.080001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.412501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.164218,-7.045571,0.750000,0.233445,0.000000,0.000000,0.972370,-19.080117,0.027589,51.071498,0.350179,-0.614308,0.350179,0.614308,0.000
27,0.891667,-18.920001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.295834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,2.039477,-6.982013,0.750000,0.233445,0.000000,0.000000,0.972370,-18.920117,0.027736,51.486831,0.350014,-0.614402,0.350014,0.614402,4.167
28,0.925000,-18.760001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.179167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.914736,-6.918454,0.750000,0.233445,0.000000,0.000000,0.972370,-18.760117,0.027680,51.902164,0.350701,-0.614010,0.350701,0.614010,4.167
29,0.958333,-18.600001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,16.062501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.789995,-6.854895,0.750000,0.233445,0.000000,0.000000,0.972370,-18.600118,0.027516,52.317498,0.351969,-0.613284,0.351969,0.613284,0.000
30,0.991667,-18.440001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.945834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.665254,-6.791337,0.750000,0.233445,0.000000,0.000000,0.972370,-18.440118,0.027305,52.732831,0.353695,-0.612290,0.353695,0.612290,4.167
31,1.025000,-18.280001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.829167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.540513,-6.727778,0.750000,0.233445,0.000000,0.000000,0.972370,-18.280118,0.026977,53.148164,0.355812,-0.611063,0.355812,0.611063,4.167
32,1.058333,-18.120001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.712501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.415772,-6.664219,0.750000,0.233445,0.000000,0.000000,0.972370,-18.120119,0.026511,53.563498,0.358312,-0.609600,0.358312,0.609600,0.000
33,1.091666,-17.960001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.595834,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.291031,-6.600661,0.750000,0.233445,0.000000,0.000000,0.972370,-17.960120,0.026019,53.978831,0.361251,-0.607863,0.361251,0.607863,4.167
34,1.120833,-17.820001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.493751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.181883,-6.545047,0.750000,0.233445,0.000000,0.000000,0.972370,-17.820122,0.025402,54.342247,0.364099,-0.606161,0.364099,0.606161,0.000
35,1.154166,-17.660001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.377084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,1.057142,-6.481488,0.750000,0.233445,0.000000,0.000000,0.972370,-17.660122,0.024928,54.757581,0.367798,-0.603925,0.367798,0.603925,4.167
36,1.187500,-17.500001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.260417,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.932401,-6.417929,0.750000,0.233445,0.000000,0.000000,0.972370,-17.500124,0.024211,55.172914,0.371822,-0.601455,0.371822,0.601455,4.167
37,1.220833,-17.340001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.143751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.807660,-6.354371,0.750000,0.233445,0.000000,0.000000,0.972370,-17.340126,0.023533,55.588247,0.376210,-0.598720,0.376210,0.598720,0.000
38,1.254166,-17.180001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,15.027084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.682919,-6.290812,0.750000,0.233445,0.000000,0.000000,0.972370,-17.180127,0.022908,56.003581,0.380962,-0.595708,0.380962,0.595708,4.167
39,1.287500,-17.020001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.910417,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.558179,-6.227253,0.750000,0.233445,0.000000,0.000000,0.972370,-17.020131,0.021952,56.418914,0.385987,-0.592465,0.385987,0.592465,4.167
40,1.320833,-16.860001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.793751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.433438,-6.163695,0.750000,0.233445,0.000000,0.000000,0.972370,-16.860134,0.021024,56.834247,0.391315,-0.588959,0.391315,0.588959,0.000
41,1.354166,-16.700001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.677084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.308697,-6.100136,0.750000,0.233445,0.000000,0.000000,0.972370,-16.700136,0.020266,57.249580,0.396953,-0.585174,0.396953,0.585174,4.167
42,1.387500,-16.540001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.560418,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.183956,-6.036577,0.750000,0.233445,0.000000,0.000000,0.972370,-16.540140,0.019177,57.664914,0.402813,-0.581156,0.402813,0.581156,4.167
43,1.420833,-16.380001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.443751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,0.059215,-5.973019,0.750000,0.233445,0.000000,0.000000,0.972370,-16.380144,0.018184,58.080247,0.408914,-0.576879,0.408914,0.576879,0.000
44,1.454166,-16.220001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.327084,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-0.065526,-5.909460,0.750000,0.233445,0.000000,0.000000,0.972370,-16.220147,0.017312,58.495580,0.415244,-0.572340,0.415244,0.572340,4.167
45,1.487500,-16.060001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.210418,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-0.190267,-5.845902,0.750000,0.233445,0.000000,0.000000,0.972370,-16.060150,0.016407,58.910913,0.421753,-0.567560,0.421753,0.567560,4.167
46,1.520833,-15.900001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,14.093751,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-0.315008,-5.782343,0.750000,0.233445,0.000000,0.000000,0.972370,-15.900154,0.015294,59.326247,0.428409,-0.562553,0.428409,0.562553,0.000
47,1.550000,-15.760001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,13.991668,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-0.424156,-5.726729,0.750000,0.233445,0.000000,0.000000,0.972370,-15.760157,0.014452,59.689663,0.434358,-0.557972,0.434358,0.557972,4.167
48,1.583333,-15.600001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,13.875001,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-0.548897,-5.663170,0.750000,0.233445,0.000000,0.000000,0.972370,-15.600161,0.013464,60.104997,0.441256,-0.552533,0.441256,0.552533,0.000
49,1.616666,-15.440001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,13.758334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-0.673638,-5.599612,0.750000,0.233445,0.000000,0.000000,0.972370,-15.440165,0.012452,60.520330,0.448247,-0.546877,0.448247,0.546877,4.167
50,1.650000,-15.280001,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,13.641668,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-0.798379,-5.536053,0.750000,0.233445,0.000000,0.000000,0.972370,-15.280172,0.010971,60.935663,0.455285,-0.541032,0.455285,0.541032,4.167
