t,wx,wy,wz,ax,ay,az,qw,qx,qy,qz
0.008333332,0.000000000,0.000000000,0.822467033,-0.000000000,0.000000000,9.800000000,0.999998532,0.000000000,0.000000000,0.001713472
0.012499998,0.000000000,0.000000000,0.822467033,-0.000000000,-0.000000000,9.800000000,0.999994128,0.000000000,0.000000000,0.003426939
0.016666664,0.000000000,0.000000000,0.822467033,-0.000000000,0.000000000,9.800000000,0.999986788,0.000000000,0.000000000,0.005140395
0.020833330,0.000000000,0.000000000,0.822308495,0.000000000,-0.000000000,9.800000000,0.999976514,0.000000000,0.000000000,0.006853507
0.029166662,0.000000000,0.000000000,0.822308495,-0.000000000,-0.000000000,9.800000000,0.999947163,0.000000000,0.000000000,0.010279664
0.033333328,0.000000000,0.000000000,0.822308495,0.000000000,0.000000000,9.800000000,0.999928085,0.000000000,0.000000000,0.011992700
0.037499994,0.000000000,0.000000000,0.822308495,-0.000000000,0.000000000,9.800000000,0.999906072,0.000000000,0.000000000,0.013705701
0.041666660,0.000000000,0.000000000,0.821832941,0.000000000,0.000000000,9.800000000,0.999881141,0.000000000,0.000000000,0.015417671
0.045833326,0.000000000,0.000000000,0.821040555,0.000000000,0.000000000,9.800000000,0.999853306,0.000000000,0.000000000,0.017127945
0.054166658,0.000000000,0.000000000,0.821040555,0.000000000,0.000000000,9.800000000,0.999788861,0.000000000,0.000000000,0.020548338
0.058333324,0.000000000,0.000000000,0.821040555,0.000000000,0.000000000,9.800000000,0.999752250,0.000000000,0.000000000,0.022258447
0.062499990,0.000000000,0.000000000,0.819931643,0.000000000,-0.000000000,9.800000000,0.999712770,0.000000000,0.000000000,0.023966181
0.066666656,0.000000000,0.000000000,0.819931643,0.000000000,0.000000000,9.800000000,0.999670373,0.000000000,0.000000000,0.025673845
0.070833322,0.000000000,0.000000000,0.818506631,0.000000000,0.000000000,9.800000000,0.999625140,0.000000000,0.000000000,0.027378467
0.079166654,0.000000000,0.000000000,0.818506631,0.000000000,0.000000000,9.800000000,0.999525954,0.000000000,0.000000000,0.030787467
0.083333320,0.000000000,0.000000000,0.818506631,0.000000000,0.000000000,9.800000000,0.999472001,0.000000000,0.000000000,0.032491835
0.087499986,0.000000000,0.000000000,0.818506631,-0.000000000,0.000000000,9.800000000,0.999415142,0.000000000,0.000000000,0.034196108
0.091666652,0.000000000,0.000000000,0.818506631,-0.000000000,0.000000000,9.800000000,0.999355377,0.000000000,0.000000000,0.035900282
