kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
32,1.058333,-103.045002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-103.045002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
33,1.091666,-102.785002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-102.785002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
34,1.120833,-102.557502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-102.557502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
35,1.154166,-102.297502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-102.297502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
36,1.187500,-102.037502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-102.037502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
37,1.220833,-101.777502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-101.777502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
38,1.254166,-101.517502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-101.517502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
39,1.287500,-101.257502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-101.257502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
40,1.320833,-100.997502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-100.997502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
41,1.354166,-100.737502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-100.737502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
42,1.387500,-100.477502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-100.477502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
