kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-22.868100,-2.177049,0.750000,0.999786,0.000000,0.000000,0.020708,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.564109,0.727813,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,-22.642543,-2.166925,0.750000,0.999693,0.000000,0.000000,0.024775,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.094542,0.736853,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,-22.417462,-2.154936,0.750000,0.999585,0.000000,0.000000,0.028800,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.635174,0.695669,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,-22.192912,-2.141200,0.750000,0.999463,0.000000,0.000000,0.032777,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.187152,0.607419,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,-21.968967,-2.125749,0.750000,0.999326,0.000000,0.000000,0.036699,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.751944,0.473903,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,-21.745734,-2.108543,0.750000,0.999177,0.000000,0.000000,0.040557,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.331712,0.295979,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,-21.523254,-2.089707,0.750000,0.999016,0.000000,0.000000,0.044346,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.927176,0.079483,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,-21.301594,-2.069285,0.750000,0.998844,0.000000,0.000000,0.048061,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.539583,-0.171176,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,-21.080868,-2.047258,0.750000,0.998663,0.000000,0.000000,0.051690,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.171021,-0.451972,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,-20.888499,-2.026796,0.750000,0.998498,0.000000,0.000000,0.054795,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.863982,-0.716243,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,-20.669650,-2.002005,0.750000,0.998302,0.000000,0.000000,0.058252,18.264584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.532996,-1.035043,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,-20.451879,-1.975850,0.750000,0.998100,0.000000,0.000000,0.061610,18.147917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.223083,-1.364252,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,-20.235243,-1.948395,0.750000,0.997894,0.000000,0.000000,0.064864,18.031250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.935008,-1.697164,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,-20.019857,-1.919647,0.750000,0.997685,0.000000,0.000000,0.068001,17.914584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.670532,-2.026460,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,-19.805722,-1.889738,0.750000,0.997475,0.000000,0.000000,0.071024,17.797917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.429145,-2.345223,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,-19.592888,-1.858737,0.750000,0.997264,0.000000,0.000000,0.073925,17.681250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.211263,-2.646961,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,-19.381471,-1.826672,0.750000,0.997055,0.000000,0.000000,0.076695,17.564584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.018330,-2.924072,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
17,0.562500,-19.171456,-1.793668,0.750000,0.996848,0.000000,0.000000,0.079334,17.447917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.849389,-3.171714,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
18,0.595833,-18.962886,-1.759800,0.750000,0.996646,0.000000,0.000000,0.081838,17.331250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.704488,-3.384842,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
19,0.629167,-18.755876,-1.725112,0.750000,0.996449,0.000000,0.000000,0.084197,17.214584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.584683,-3.557022,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
20,0.662500,-18.550397,-1.689721,0.750000,0.996260,0.000000,0.000000,0.086412,17.097917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.488619,-3.686405,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
21,0.695833,-18.346485,-1.653707,0.750000,0.996078,0.000000,0.000000,0.088480,16.981250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.415971,-3.770356,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,-18.169445,-1.621724,0.750000,0.995927,0.000000,0.000000,0.090159,16.879167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.372225,-3.803087,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
23,0.758333,-17.968614,-1.584744,0.750000,0.995765,0.000000,0.000000,0.091938,16.762501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.342812,-3.796440,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
