kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
32,1.058333,187.249998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,187.249998,155.000000,54.593749,0.500000,-0.500000,0.500000,0.500000,0.000
33,1.091666,187.583331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,187.583331,155.000000,54.718749,0.500000,-0.500000,0.500000,0.500000,4.167
34,1.120833,187.874998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,187.874998,155.000000,54.828124,0.500000,-0.500000,0.500000,0.500000,0.000
35,1.154166,188.208331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,188.208331,155.000000,54.953124,0.500000,-0.500000,0.500000,0.500000,4.167
36,1.187500,188.541665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,188.541665,155.000000,55.078124,0.500000,-0.500000,0.500000,0.500000,4.167
37,1.220833,188.874998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,188.874998,155.000000,55.203124,0.500000,-0.500000,0.500000,0.500000,0.000
38,1.254166,189.208331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,189.208331,155.000000,55.328124,0.500000,-0.500000,0.500000,0.500000,4.167
39,1.287500,189.541664,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,189.541664,155.000000,55.453124,0.500000,-0.500000,0.500000,0.500000,4.167
40,1.320833,189.874998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,189.874998,155.000000,55.578124,0.500000,-0.500000,0.500000,0.500000,0.000
41,1.354166,190.208331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,190.208331,155.000000,55.703124,0.500000,-0.500000,0.500000,0.500000,4.167
42,1.387500,190.541664,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,190.541664,155.000000,55.828124,0.500000,-0.500000,0.500000,0.500000,4.167
43,1.420833,190.874997,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,190.874997,155.000000,55.953124,0.500000,-0.500000,0.500000,0.500000,0.000
44,1.454166,191.208331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,191.208331,155.000000,56.078124,0.500000,-0.500000,0.500000,0.500000,4.167
45,1.487500,191.541664,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,191.541664,155.000000,56.203124,0.500000,-0.500000,0.500000,0.500000,4.167
46,1.520833,191.874997,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,191.874997,155.000000,56.328124,0.500000,-0.500000,0.500000,0.500000,0.000
47,1.550000,192.166664,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,192.166664,155.000000,56.437499,0.500000,-0.500000,0.500000,0.500000,4.167
48,1.583333,192.499997,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,192.499997,155.000000,56.562499,0.500000,-0.500000,0.500000,0.500000,0.000
49,1.616666,192.833330,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,192.833330,155.000000,56.687499,0.500000,-0.500000,0.500000,0.500000,4.167
50,1.650000,193.166664,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,193.166664,155.000000,56.812499,0.500000,-0.500000,0.500000,0.500000,4.167
51,1.683333,193.499997,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,193.499997,155.000000,56.937499,0.500000,-0.500000,0.500000,0.500000,0.000
52,1.716666,193.833330,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,193.833330,155.000000,57.062499,0.500000,-0.500000,0.500000,0.500000,4.167
53,1.750000,194.166664,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,194.166664,155.000000,57.187499,0.500000,-0.500000,0.500000,0.500000,4.167
